Temperature of gurgaon,Wind in gurgaon,Humidty in gurgaon,Temperature of ghaziabad,Wind in ghaziabad,Humidty in ghaziabad,Temperature of noida,Wind in noida,Humidty in noida,Temperature of faridabad,Wind in faridabad,Humidty in faridabad,Temperature of meerut,Wind in meerut,Humidty in meerut,Temperature of chandigarh,Wind in chandigarh,Humidty in chandigarh,Temperature of delhi,Wind in delhi,Humidty in delhi
40,17,32,40,16,27,40,16,28,40,16,28,41,14,23,40,15,23,40,16,31
40,17,32,40,17,27,40,17,28,40,17,28,42,15,22,41,16,20,40,17,31
39,17,33,40,17,27,40,17,28,40,17,28,42,16,21,42,17,18,39,17,32
40,17,32,41,17,26,41,17,27,41,17,27,42,17,21,42,18,17,40,17,31
40,16,32,41,17,26,41,16,27,41,16,27,42,18,22,42,18,17,40,17,30
40,15,32,41,16,27,40,15,28,40,15,28,41,18,23,41,18,18,40,16,31
40,15,32,41,15,28,41,14,28,41,14,28,41,16,24,40,16,18,40,15,31
39,14,34,39,13,30,40,13,30,40,13,30,39,13,26,38,14,21,39,14,33
38,13,36,39,12,31,39,11,32,39,11,32,38,10,28,37,12,23,39,14,34
38,13,38,38,12,33,38,11,33,38,11,33,37,10,30,35,10,25,38,14,35
36,13,41,37,12,35,37,11,35,37,11,35,36,12,32,34,10,27,37,14,37
36,13,44,36,12,36,36,11,38,36,11,38,35,12,34,33,9,30,36,13,38
35,12,46,36,11,38,36,11,39,36,11,39,34,11,36,32,10,32,36,13,40
34,12,47,35,10,39,35,10,40,35,10,40,34,11,37,31,10,33,35,11,42
34,12,49,35,10,39,34,10,41,34,10,41,34,10,38,31,10,34,35,12,43
33,11,50,34,10,41,34,9,43,34,9,43,33,9,39,30,11,35,34,11,45
33,11,51,33,9,43,34,9,44,34,9,44,32,9,41,30,12,35,34,11,46
32,12,51,33,9,44,33,9,44,33,9,44,31,9,43,30,12,35,34,10,47
33,12,48,33,10,43,34,9,42,34,9,42,31,9,43,31,10,33,34,10,46
35,14,43,35,11,39,35,10,38,35,10,38,34,8,38,32,8,30,35,10,42
37,15,36,37,11,34,38,12,34,38,12,34,36,8,33,35,8,26,37,12,38
39,15,32,39,13,31,40,13,30,40,13,30,38,10,29,38,11,23,38,13,35
40,17,30,40,15,29,41,16,27,41,16,27,40,15,27,40,13,21,39,15,32
41,17,28,40,17,27,42,17,25,42,17,25,41,16,24,41,15,19,40,16,30
42,18,26,42,17,25,43,17,23,43,17,23,42,15,23,42,17,18,41,16,27
43,18,24,43,16,22,44,16,22,44,16,22,42,14,22,43,19,17,42,17,25
43,18,24,44,16,21,44,16,21,44,16,21,42,14,21,44,21,16,43,17,23
43,19,24,44,15,21,44,16,21,44,16,21,43,14,20,44,22,16,43,17,23
42,19,25,43,15,21,43,16,21,43,16,21,43,14,19,43,23,17,43,17,23
41,19,27,42,15,21,42,15,23,42,15,23,43,14,18,42,23,17,42,16,24
41,18,28,42,15,22,42,15,23,42,15,23,42,12,19,42,21,18,42,16,24
40,16,29,41,15,23,41,16,24,41,16,24,40,8,21,40,19,20,41,17,26
39,15,31,41,14,24,41,16,25,41,16,25,39,7,23,38,16,22,40,16,27
38,15,34,40,14,26,40,15,28,40,15,28,38,9,25,36,14,24,39,15,29
37,14,36,38,13,30,38,15,30,38,15,30,37,10,26,35,13,25,38,14,32
36,14,39,37,13,32,38,14,33,38,14,33,36,10,28,34,12,27,37,14,35
36,14,41,36,13,34,37,14,35,37,14,35,35,11,29,33,10,27,36,14,38
35,14,43,36,14,35,36,14,36,36,14,36,34,13,30,32,10,27,36,14,39
34,13,45,35,14,37,36,14,37,36,14,37,34,13,30,31,9,28,35,14,41
34,13,46,35,13,39,35,13,39,35,13,39,33,13,33,31,9,29,35,13,43
33,13,47,34,12,41,34,13,41,34,13,41,33,13,36,30,10,31,34,12,45
33,13,47,34,12,43,34,13,42,34,13,42,32,12,39,30,10,32,34,12,46
33,13,49,34,13,42,34,13,42,34,13,42,33,12,38,31,9,31,34,13,45
34,15,48,36,15,37,36,15,39,36,15,39,35,12,34,34,9,27,35,15,42
36,17,45,38,17,32,38,17,35,38,17,35,38,13,29,37,10,22,37,17,38
38,18,41,40,18,29,40,18,32,40,18,32,40,15,26,39,12,21,39,18,35
39,20,37,41,20,27,41,20,29,41,20,29,42,20,24,41,16,20,40,19,32
40,21,33,42,21,26,42,21,27,42,21,27,43,23,22,42,18,20,41,20,30
41,21,31,43,21,24,43,20,25,43,20,25,44,23,20,43,19,19,42,20,28
42,21,30,44,21,23,43,20,24,43,20,24,45,23,19,44,19,17,43,20,27
42,20,29,44,20,22,44,19,23,44,19,23,45,23,18,44,21,16,43,20,26
42,21,28,44,21,22,44,20,24,44,20,24,45,24,18,44,22,16,43,20,26
42,21,29,44,22,23,43,21,25,43,21,25,44,25,18,44,23,16,43,21,27
41,21,30,43,23,25,42,22,26,42,22,26,44,26,19,43,23,17,42,21,28
41,19,31,43,21,25,42,20,26,42,20,26,43,24,20,42,22,17,42,20,28
40,17,34,41,18,28,41,18,29,41,18,29,41,21,22,40,19,19,41,18,31
39,16,35,41,16,28,40,16,30,40,16,30,40,18,24,39,15,20,40,17,32
38,15,37,39,16,31,39,15,32,39,15,32,39,17,27,37,13,24,39,16,33
37,15,38,38,15,32,38,15,33,38,15,33,38,18,29,36,12,28,38,15,34
36,14,38,38,15,33,38,15,34,38,15,34,37,18,32,34,11,31,37,15,35
36,14,41,37,15,35,37,14,36,37,14,36,36,17,35,33,11,32,36,14,38
35,13,43,36,14,37,36,13,37,36,13,37,35,16,36,32,11,32,36,14,40
34,13,46,36,14,38,36,13,38,36,13,38,35,15,37,31,11,32,35,13,42
34,13,47,35,14,40,35,13,39,35,13,39,34,14,37,31,11,32,35,13,43
34,14,48,34,13,41,35,14,42,35,14,42,34,13,36,30,11,31,34,13,45
33,15,48,34,13,42,34,15,43,34,15,43,34,12,35,30,10,31,34,13,46
33,16,48,34,15,42,34,16,42,34,16,42,34,14,35,32,10,28,34,14,45
34,17,46,36,18,39,36,18,40,36,18,40,36,19,32,34,11,25,35,17,43
36,19,43,38,21,35,37,20,36,37,20,36,39,22,27,38,11,21,37,18,39
38,19,39,40,21,31,39,21,33,39,21,33,41,21,24,40,13,20,38,18,36
40,19,35,41,21,28,41,21,30,41,21,30,42,22,22,41,18,19,40,19,32
41,20,33,42,21,26,42,21,28,42,21,28,44,22,20,42,20,18,41,19,30
41,21,31,43,22,25,42,21,27,42,21,27,44,22,19,44,21,17,42,20,29
42,21,31,44,22,25,43,22,27,43,22,27,45,22,18,44,20,16,42,21,29
42,21,31,44,23,25,43,22,27,43,22,27,45,22,17,44,20,15,42,21,29
42,21,31,44,22,25,43,22,27,43,22,27,45,22,18,44,22,15,43,21,29
42,22,30,44,22,25,43,22,27,43,22,27,44,23,19,44,23,16,43,21,28
41,22,31,43,21,26,42,22,27,42,22,27,44,23,20,43,24,17,42,21,29
41,21,32,43,21,26,42,21,27,42,21,27,43,22,20,42,22,18,42,20,29
40,18,33,41,19,27,41,19,29,41,19,29,41,19,22,40,18,22,41,18,30
39,17,35,41,17,28,40,17,30,40,17,30,40,17,24,39,14,25,40,17,31
38,16,37,40,17,30,39,17,32,39,17,32,39,17,26,37,13,29,39,17,33
37,17,39,39,17,32,38,17,34,38,17,34,38,18,28,36,11,32,38,17,35
36,16,41,38,17,34,38,17,36,38,17,36,37,18,30,35,10,34,37,16,37
36,16,44,37,17,37,36,17,39,36,17,39,36,18,33,34,10,35,36,16,40
35,16,47,36,17,39,36,17,41,36,17,41,36,19,34,33,9,36,36,16,42
34,15,50,36,17,41,35,17,44,35,17,44,36,19,36,33,8,36,35,16,45
33,15,52,35,16,42,34,16,46,34,16,46,35,19,38,32,8,36,34,15,47
33,14,53,34,15,44,34,15,47,34,15,47,35,18,39,32,8,36,34,15,48
32,14,53,34,15,45,34,15,48,34,15,48,34,17,39,32,9,35,34,14,49
33,15,53,34,16,46,34,16,47,34,16,47,34,18,40,33,11,34,33,15,49
33,17,51,34,17,46,34,18,45,34,18,45,35,21,38,35,15,32,33,16,50
35,19,47,35,18,43,36,19,41,36,19,41,36,23,35,37,17,30,34,17,46
36,20,43,36,20,40,37,21,38,37,21,38,38,23,32,40,18,27,35,18,45
37,21,40,37,22,39,38,22,36,38,22,36,40,24,30,41,18,25,36,19,47
38,22,39,38,23,39,39,23,34,39,23,34,40,24,29,42,19,23,36,20,49
39,22,35,39,22,35,40,22,32,40,22,32,42,24,27,43,20,21,37,19,44
40,20,33,40,20,32,41,20,29,41,20,29,42,23,26,44,20,20,39,18,37
41,19,31,42,19,29,42,19,28,42,19,28,43,22,25,44,21,19,41,18,33
41,20,32,42,19,28,42,19,28,42,19,28,43,22,24,44,21,19,41,19,32
41,21,32,42,20,28,42,20,27,42,20,27,43,22,24,43,22,19,41,20,31
41,21,33,42,20,28,42,20,28,42,20,28,42,21,25,43,22,20,41,20,32
40,19,33,42,19,29,41,19,29,41,19,29,42,20,25,42,21,22,41,19,32
39,17,34,40,17,31,40,17,30,40,17,30,40,17,27,40,18,25,40,18,33
39,15,35,40,16,32,40,16,31,40,16,31,39,14,28,39,14,28,39,17,34
38,15,37,39,16,33,39,15,33,39,15,33,38,15,30,37,12,32,38,16,35
37,15,40,38,16,33,38,15,34,38,15,34,38,19,31,36,9,35,37,16,37
36,15,42,37,16,35,37,15,36,37,15,36,37,20,33,34,8,38,37,16,38
35,16,44,36,17,37,36,16,38,36,16,38,36,19,34,33,8,40,36,16,40
34,16,46,36,17,38,36,17,40,36,17,40,36,18,35,33,8,40,35,16,42
34,16,47,36,17,40,35,17,42,35,17,42,35,18,37,33,9,40,35,16,44
33,16,49,35,17,42,34,17,44,34,17,44,35,18,39,32,9,41,34,16,46
33,16,51,34,17,44,34,17,46,34,17,46,34,17,40,32,10,41,34,16,48
32,15,54,34,17,46,34,17,48,34,17,48,34,17,42,32,10,41,33,15,51
32,16,57,34,18,48,33,18,49,33,18,49,34,18,43,33,13,39,33,16,53
33,17,56,34,19,47,34,19,49,34,19,49,35,21,43,34,17,37,33,17,53
34,18,54,36,20,46,35,19,47,35,19,47,36,22,41,37,19,34,35,18,51
36,19,50,37,20,42,37,20,43,37,20,43,38,22,37,39,20,30,36,18,47
37,21,43,38,21,37,38,21,38,38,21,38,39,22,34,40,21,27,37,19,41
38,21,38,40,21,34,39,21,35,39,21,35,40,21,31,41,21,25,38,20,37
38,21,37,40,21,32,40,21,33,40,21,33,42,21,29,42,20,23,39,20,35
38,19,37,41,21,31,40,21,33,40,21,33,43,21,27,43,20,20,40,20,34
38,18,38,42,21,31,40,21,33,40,21,33,43,21,25,44,19,19,40,20,34
39,18,37,42,20,31,41,19,33,41,19,33,43,19,26,44,20,19,41,19,34
40,18,36,42,19,31,41,18,32,41,18,32,42,19,27,43,21,20,41,19,34
40,18,36,41,19,31,41,17,32,41,17,32,42,17,28,42,21,22,41,18,34
40,18,37,41,18,31,41,18,32,41,18,32,41,17,29,41,20,24,41,18,34
39,18,38,40,17,33,40,18,34,40,18,34,40,16,31,39,19,28,40,17,35
38,17,38,40,17,33,40,18,34,40,18,34,39,14,32,38,17,31,39,17,35
37,17,40,39,17,34,38,18,35,38,18,35,38,14,33,36,17,35,39,17,36
36,17,41,38,18,36,37,18,37,37,18,37,38,16,34,35,16,39,37,17,38
36,17,43,37,18,37,36,17,38,36,17,38,37,17,34,33,15,43,36,17,40
